,Codi_Districte,Nom_Districte,Índex RFD Barcelona = 100,Nom_Barri,Codi_Barri,Població,_id,Any
0,1,Ciutat Vella,65.0,el Raval,1,48485,1,2011
1,1,Ciutat Vella,98.8,el Barri Gòtic,2,17257,2,2011
2,1,Ciutat Vella,73.1,la Barceloneta,3,15674,3,2011
3,1,Ciutat Vella,86.1,"Sant Pere, Santa Caterina i la Ribera",4,22632,4,2011
4,2,Eixample,97.9,el Fort Pienc,5,32348,5,2011
5,2,Eixample,96.1,la Sagrada Família,6,52000,6,2011
6,2,Eixample,151.7,la Dreta de l'Eixample,7,43206,7,2011
7,2,Eixample,121.3,l'Antiga Esquerra de l'Eixample,8,41653,8,2011
8,2,Eixample,107.7,la Nova Esquerra de l'Eixample,9,57659,9,2011
9,2,Eixample,95.9,Sant Antoni,10,38130,10,2011
10,3,Sants-Montjuïc,73.0,el Poble Sec,11,40704,11,2011
11,3,Sants-Montjuïc,53.0,la Marina del Prat Vermell,12,1065,12,2011
12,3,Sants-Montjuïc,70.8,la Marina de Port,13,30290,13,2011
13,3,Sants-Montjuïc,74.6,la Font de la Guatlla,14,10222,14,2011
14,3,Sants-Montjuïc,76.1,Hostafrancs,15,15955,15,2011
15,3,Sants-Montjuïc,71.1,la Bordeta,16,18431,16,2011
16,3,Sants-Montjuïc,77.1,Sants - Badal,17,24431,17,2011
17,3,Sants-Montjuïc,86.4,Sants,18,41666,18,2011
18,4,Les Corts,126.9,les Corts,19,46953,19,2011
19,4,Les Corts,110.6,la Maternitat i Sant Ramon,20,23758,20,2011
20,4,Les Corts,246.0,Pedralbes,21,11629,21,2011
21,5,Sarrià-Sant Gervasi,165.9,"Vallvidrera, el Tibidabo i les Planes",22,4355,22,2011
22,5,Sarrià-Sant Gervasi,180.7,Sarrià,23,24153,23,2011
23,5,Sarrià-Sant Gervasi,216.4,les Tres Torres,24,15700,24,2011
24,5,Sarrià-Sant Gervasi,190.7,Sant Gervasi - la Bonanova,25,24432,25,2011
25,5,Sarrià-Sant Gervasi,177.7,Sant Gervasi - Galvany,26,46207,26,2011
26,5,Sarrià-Sant Gervasi,138.0,el Putxet i el Farró,27,29941,27,2011
27,6,Gràcia,114.4,Vallcarca i els Penitents,28,15396,28,2011
28,6,Gràcia,97.3,el Coll,29,7296,29,2011
29,6,Gràcia,109.8,la Salut,30,13199,30,2011
30,6,Gràcia,106.4,la Vila de Gràcia,31,51037,31,2011
31,6,Gràcia,98.2,el Camp d'en Grassot i Gràcia Nova,32,34497,32,2011
32,7,Horta-Guinardó,89.9,el Baix Guinardó,33,25972,33,2011
33,7,Horta-Guinardó,74.4,Can Baró,34,8984,34,2011
34,7,Horta-Guinardó,85.8,el Guinardó,35,35673,35,2011
35,7,Horta-Guinardó,97.0,la Font d'en Fargues,36,9495,36,2011
36,7,Horta-Guinardó,62.4,el Carmel,37,32425,37,2011
37,7,Horta-Guinardó,69.0,la Teixonera,38,11420,38,2011
38,7,Horta-Guinardó,81.2,Sant Genís dels Agudells,39,6977,39,2011
39,7,Horta-Guinardó,71.1,Montbau,40,5191,40,2011
40,7,Horta-Guinardó,89.1,la Vall d'Hebron,41,5580,41,2011
41,7,Horta-Guinardó,79.5,la Clota,42,472,42,2011
42,7,Horta-Guinardó,78.2,Horta,43,27312,43,2011
43,8,Nou Barris,72.3,Vilapicina i la Torre Llobeta,44,25515,44,2011
44,8,Nou Barris,63.9,Porta,45,24909,45,2011
45,8,Nou Barris,58.6,el Turó de la Peira,46,15270,46,2011
46,8,Nou Barris,52.7,Can Peguera,47,2249,47,2011
47,8,Nou Barris,58.9,la Guineueta,48,15294,48,2011
48,8,Nou Barris,70.2,Canyelles,49,7170,49,2011
49,8,Nou Barris,53.8,les Roquetes,50,16050,50,2011
50,8,Nou Barris,53.3,Verdun,51,12396,51,2011
51,8,Nou Barris,61.3,la Prosperitat,52,26594,52,2011
52,8,Nou Barris,40.3,la Trinitat Nova,53,7682,53,2011
53,8,Nou Barris,54.5,Torre Baró,54,2193,54,2011
54,8,Nou Barris,39.9,Ciutat Meridiana,55,10832,55,2011
55,8,Nou Barris,53.2,Vallbona,56,1381,56,2011
56,9,Sant Andreu,49.4,la Trinitat Vella,57,10372,57,2011
57,9,Sant Andreu,50.8,Baró de Viver,58,2343,58,2011
58,9,Sant Andreu,63.0,el Bon Pastor,59,13374,59,2011
59,9,Sant Andreu,78.0,Sant Andreu,60,55902,60,2011
60,9,Sant Andreu,76.7,la Sagrera,61,29136,61,2011
61,9,Sant Andreu,72.9,el Congrés i els Indians,62,14063,62,2011
62,9,Sant Andreu,74.8,Navas,63,21758,63,2011
63,10,Sant Martí,82.3,el Camp de l'Arpa del Clot,64,37957,64,2011
64,10,Sant Martí,80.0,el Clot,65,27114,65,2011
65,10,Sant Martí,90.9,el Parc i la Llacuna del Poblenou,66,13772,66,2011
66,10,Sant Martí,146.0,la Vila Olímpica del Poblenou,67,9191,67,2011
67,10,Sant Martí,89.2,el Poblenou,68,32208,68,2011
68,10,Sant Martí,122.3,Diagonal Mar i el Front Marítim del Poblenou,69,12289,69,2011
69,10,Sant Martí,52.9,el Besòs i el Maresme,70,23998,70,2011
70,10,Sant Martí,84.3,Provençals del Poblenou,71,19732,71,2011
71,10,Sant Martí,65.0,Sant Martí de Provençals,72,26178,72,2011
72,10,Sant Martí,61.8,la Verneda i la Pau,73,29131,73,2011
73,99,No consta,-,No consta,99,70,74,2011
