,Codi_Districte,Seccio_Censal,Nom_Districte,Camp,Nom_Barri,Codi_AEB,Codi_Barri,Nombre,_id,Data
0,1,1,Ciutat Vella,Electors,el Raval,1,1,584,1,2023-07-23T00:00:00
1,1,1,Ciutat Vella,Votants,el Raval,1,1,327,2,2023-07-23T00:00:00
2,1,1,Ciutat Vella,Vots vàlids,el Raval,1,1,327,3,2023-07-23T00:00:00
3,1,1,Ciutat Vella,PSC-PSOE,el Raval,1,1,106,4,2023-07-23T00:00:00
4,1,1,Ciutat Vella,SUMAR-ECP,el Raval,1,1,71,5,2023-07-23T00:00:00
5,1,1,Ciutat Vella,PP,el Raval,1,1,62,6,2023-07-23T00:00:00
6,1,1,Ciutat Vella,VOX,el Raval,1,1,33,7,2023-07-23T00:00:00
7,1,1,Ciutat Vella,ERC,el Raval,1,1,21,8,2023-07-23T00:00:00
8,1,1,Ciutat Vella,JUNTS,el Raval,1,1,15,9,2023-07-23T00:00:00
9,1,1,Ciutat Vella,CUP-PR,el Raval,1,1,13,10,2023-07-23T00:00:00
10,1,1,Ciutat Vella,PACMA,el Raval,1,1,3,11,2023-07-23T00:00:00
11,1,1,Ciutat Vella,Vots blancs,el Raval,1,1,2,12,2023-07-23T00:00:00
12,1,1,Ciutat Vella,RECORTES CERO,el Raval,1,1,1,13,2023-07-23T00:00:00
13,1,1,Ciutat Vella,FO,el Raval,1,1,0,14,2023-07-23T00:00:00
14,1,1,Ciutat Vella,PCTC,el Raval,1,1,0,15,2023-07-23T00:00:00
15,1,1,Ciutat Vella,PDeCAT-E-CiU,el Raval,1,1,0,16,2023-07-23T00:00:00
16,1,1,Ciutat Vella,Vots nuls,el Raval,1,1,0,17,2023-07-23T00:00:00
17,2,1,Eixample,Electors,el Fort Pienc,20,5,787,18,2023-07-23T00:00:00
18,2,1,Eixample,Votants,el Fort Pienc,20,5,539,19,2023-07-23T00:00:00
19,2,1,Eixample,Vots vàlids,el Fort Pienc,20,5,536,20,2023-07-23T00:00:00
20,2,1,Eixample,PSC-PSOE,el Fort Pienc,20,5,175,21,2023-07-23T00:00:00
21,2,1,Eixample,SUMAR-ECP,el Fort Pienc,20,5,105,22,2023-07-23T00:00:00
22,2,1,Eixample,PP,el Fort Pienc,20,5,76,23,2023-07-23T00:00:00
23,2,1,Eixample,JUNTS,el Fort Pienc,20,5,75,24,2023-07-23T00:00:00
24,2,1,Eixample,ERC,el Fort Pienc,20,5,65,25,2023-07-23T00:00:00
25,2,1,Eixample,VOX,el Fort Pienc,20,5,17,26,2023-07-23T00:00:00
26,2,1,Eixample,CUP-PR,el Fort Pienc,20,5,17,27,2023-07-23T00:00:00
27,2,1,Eixample,Vots blancs,el Fort Pienc,20,5,3,28,2023-07-23T00:00:00
28,2,1,Eixample,Vots nuls,el Fort Pienc,20,5,3,29,2023-07-23T00:00:00
29,2,1,Eixample,PDeCAT-E-CiU,el Fort Pienc,20,5,2,30,2023-07-23T00:00:00
30,2,1,Eixample,PACMA,el Fort Pienc,20,5,1,31,2023-07-23T00:00:00
31,2,1,Eixample,FO,el Fort Pienc,20,5,0,32,2023-07-23T00:00:00
32,2,1,Eixample,RECORTES CERO,el Fort Pienc,20,5,0,33,2023-07-23T00:00:00
33,2,1,Eixample,PCTC,el Fort Pienc,20,5,0,34,2023-07-23T00:00:00
34,3,1,Sants-Montjuïc,Electors,el Poble-sec,56,11,1081,35,2023-07-23T00:00:00
35,3,1,Sants-Montjuïc,Votants,el Poble-sec,56,11,667,36,2023-07-23T00:00:00
36,3,1,Sants-Montjuïc,Vots vàlids,el Poble-sec,56,11,662,37,2023-07-23T00:00:00
37,3,1,Sants-Montjuïc,PSC-PSOE,el Poble-sec,56,11,260,38,2023-07-23T00:00:00
38,3,1,Sants-Montjuïc,SUMAR-ECP,el Poble-sec,56,11,111,39,2023-07-23T00:00:00
39,3,1,Sants-Montjuïc,JUNTS,el Poble-sec,56,11,76,40,2023-07-23T00:00:00
40,3,1,Sants-Montjuïc,PP,el Poble-sec,56,11,75,41,2023-07-23T00:00:00
41,3,1,Sants-Montjuïc,ERC,el Poble-sec,56,11,75,42,2023-07-23T00:00:00
42,3,1,Sants-Montjuïc,VOX,el Poble-sec,56,11,28,43,2023-07-23T00:00:00
43,3,1,Sants-Montjuïc,CUP-PR,el Poble-sec,56,11,19,44,2023-07-23T00:00:00
44,3,1,Sants-Montjuïc,PACMA,el Poble-sec,56,11,10,45,2023-07-23T00:00:00
45,3,1,Sants-Montjuïc,Vots nuls,el Poble-sec,56,11,5,46,2023-07-23T00:00:00
